configuration,file_name,source_rows,retained_rows,C_X_body_median,C_X_body_p05,C_X_body_p95,C_Y_body_median,C_Y_body_p05,C_Y_body_p95,C_Z_body_median,C_Z_body_p05,C_Z_body_p95,C_D_drag_median,C_D_drag_p05,C_D_drag_p95,C_Y_wind_median,C_Y_wind_p05,C_Y_wind_p95,C_L_lift_median,C_L_lift_p05,C_L_lift_p95,C_l_roll_median,C_l_roll_p05,C_l_roll_p95,C_m_pitch_median,C_m_pitch_p05,C_m_pitch_p95,C_n_yaw_median,C_n_yaw_p05,C_n_yaw_p95
clean,lat_121_01_15_ID_4.csv,435,431,-0.038988069107819275,-0.04546412995441732,-0.03436458891816149,0.0014803962707403055,-0.006760394284971423,0.007917378584690004,-0.26085429534916693,-0.3161609402229809,-0.20365803664660526,0.04182686142156956,0.03334092648434602,0.05122732789389525,-4.082496242526916e-05,-0.00798803043835403,0.00631903032415943,0.2605577203917684,0.20361726233165467,0.315698511290157,0.0010409942776866393,-0.0010990591360942907,0.0032558800474993344,-2.254184101451739e-05,-0.0036735583261519687,0.0034062613357756745,-2.733940295270444e-06,-0.0004403440998952522,0.0005178368981406728
clean,lat_121_01_15_ID_5.csv,297,293,-0.03319302648715314,-0.03867634643127245,-0.024869889850987682,0.0017997632071574735,-0.00937839631327022,0.01307253407790757,-0.2427223629873022,-0.29786289843390784,-0.18985421583065504,0.034274140699768724,0.025640142314022077,0.04246212306197321,0.0007441175120195716,-0.01012083079013592,0.011665705129861197,0.24274471588825897,0.1899904887985066,0.29770994347427227,0.0008676792860918344,-0.0011030527356908938,0.0026823877357019734,0.00017982833556368335,-0.003297056004190128,0.0032279279810555443,-7.497036597433249e-06,-0.0006615805691735533,0.0005749806664340582
clean,lat_121_01_15_ID_6.csv,350,346,-0.03834919041536486,-0.044349011206927844,-0.03142745885061678,-0.00047519365112343837,-0.013012687901701394,0.010023343412879047,-0.25287510049876805,-0.3125568144697782,-0.1859092119395075,0.04255120730648869,0.03732545659019469,0.050665062628552165,-0.0023485933976935907,-0.014376368747951243,0.007836675369220709,0.2522182970214567,0.18591605305585618,0.3112984755395495,0.0009261283560225385,-0.0016545889326545955,0.003652838944583013,-2.4847938383623983e-05,-0.004338691129574227,0.0038252625063262637,4.054756980716027e-05,-0.000676551680111376,0.0007282254879656746
clean,lat_121_05_8_ID_4.csv,325,321,-0.03657002478473511,-0.04220809607325496,-0.03236206485592201,-0.0012246979588576123,-0.02187860687918972,0.021480405524094973,-0.25621551748096294,-0.31341996702234964,-0.19824734545106368,0.040832512537305264,0.03142411565476946,0.047732207521199416,-0.002803931290356043,-0.025278247359271384,0.016283295482068444,0.2556955728932455,0.19842653521329864,0.3134144697084078,0.0009253438823366378,-0.002517213317215402,0.0042394482025423525,8.846446055170142e-06,-0.0030029249941577333,0.0031789141796366494,-1.5856414981614084e-06,-0.001263492005872999,0.0014820764196928394
clean,lat_121_05_8_ID_5.csv,409,405,-0.02729106976552815,-0.03151740933109098,-0.02178389791180215,0.0007886730150388406,-0.010279916549789738,0.017232198958901216,-0.2265003583020071,-0.2720178619190661,-0.17803892161772564,0.029673861207322218,0.02295079839279056,0.034861026880308954,0.0007701300717828034,-0.010527407723487559,0.015849631316734402,0.22620104216802314,0.1780029339760444,0.27172417329571696,0.0008078094138697854,-0.0014845263126372825,0.003569110368260062,0.00010216876049685645,-0.002666182017668366,0.003700707295525014,3.122608973133242e-06,-0.0009542726331795382,0.0010897215629728065
clean,lat_121_05_8_ID_6.csv,349,345,-0.036503110523845424,-0.043217928680227904,-0.024989897772813453,0.00035210755780027705,-0.014819937814856483,0.016605057066912322,-0.24254370042018855,-0.30987874341126004,-0.18294141652141702,0.03933618810426306,0.02879078897843971,0.04898043824879903,-0.00040310006243789517,-0.015403815827905905,0.014426330622845568,0.24168053603143685,0.18245076065698884,0.30897018782301466,0.0009280082275782411,-0.003033190646244836,0.004316610462031644,0.00021111235642099605,-0.00395485645300321,0.0036113873675859874,1.6390484415883177e-05,-0.0009986870819460542,0.0009815043592942892
clean,lat_db_01_15_ID_4.csv,299,295,-0.04385791338634966,-0.05234631462188828,-0.034908528817770144,-0.00021662804384197138,-0.011841244866688092,0.008307620539572725,-0.26997631151710494,-0.32932191178313486,-0.1866584182406574,0.04731592862965628,0.030517232583822593,0.05463451925544435,-0.0018440634364370338,-0.012589498507768027,0.006817003689531569,0.27048101434635546,0.1873537062906201,0.32997862852149534,0.0009543083673459379,-0.0015983442087024375,0.0035542153352447576,0.00010489557142631629,-0.0040134877828624915,0.004170651780746959,-1.9550582623381323e-06,-0.0004903468703380506,0.0005530811737194453
clean,lat_db_01_15_ID_5.csv,331,327,-0.035522482254600106,-0.0516874042685312,-0.02960384844442532,0.001261522112817646,-0.008044035010070078,0.010169512234412656,-0.238228857656515,-0.3006794898603446,-0.18949692431223772,0.038770964593375125,0.03000799932065325,0.05267076570583863,0.0006572419011914595,-0.00828055190192996,0.008535604870871138,0.2375753539319121,0.18932755448145355,0.30018771867260396,0.0008983152939834246,-0.0007788543813079044,0.002932935520049299,0.000156115463550164,-0.003417687126307827,0.0038818908635095163,-2.5348002501778182e-05,-0.0005044457865588658,0.000582820763765354
clean,lat_db_01_15_ID_6.csv,435,431,-0.04176932761463075,-0.05000999131153949,-0.03280388794550722,0.0005464349437125757,-0.00963363967498829,0.011934920949989443,-0.2540053192711663,-0.31854783364865746,-0.1820602771778551,0.0454249705325703,0.031061874075635,0.05899020935079667,0.00010185354485627628,-0.009869535173538214,0.010998457528213254,0.2534781819987593,0.18033973767689349,0.3170506833555039,0.000972140430924374,-0.001812916285340277,0.003572028778486509,3.558502418626446e-05,-0.00386237957959337,0.004167433051804979,3.721176128028613e-05,-0.0008147200049434936,0.0007073718154975148
clean,lat_db_06_8_ID_4.csv,346,342,-0.04342998269454608,-0.05135923036714317,-0.03579044029492554,0.0012440784015107095,-0.013785107272794025,0.024075101582482585,-0.2538434126228081,-0.33766076039979603,-0.16793232586622903,0.05084897899802604,0.039751360705919364,0.06104518218607456,0.0007214590417199173,-0.013731745519467566,0.019135312236703308,0.2521634655880538,0.16682007994913767,0.33535892306317144,0.0010630766086687882,-0.0029414163506418243,0.0051234308762486405,7.237050320901912e-05,-0.004944614214851105,0.004942038791706808,-1.3397676394900021e-05,-0.001374049419462045,0.001049379974512715
