branch,configuration,file_name,source_rows,common_envelope_rows,invalid_rows,source_CD_diagnostic_nrmse,prop_thrust_reference_nrmse
PRIMARY_W5,clean,lon_3211_02_12_ID_1.csv,348,298,0,0.09292018896653712,5.1016477498081656e-15
PRIMARY_W5,iced,lon_3211_02_12_ID_1.csv,302,239,0,0.08026894996677907,3.777250484691354e-15
PRIMARY_W5,clean,lon_3211_02_12_ID_2.csv,413,364,0,0.07969904806212491,5.353966134310915e-15
PRIMARY_W5,iced,lon_3211_02_12_ID_2.csv,330,266,0,0.06974245959520889,3.624383076095238e-15
PRIMARY_W5,clean,lon_3211_02_12_ID_3.csv,318,267,0,0.09082697907152949,5.057529982066445e-15
PRIMARY_W5,iced,lon_3211_02_12_ID_3.csv,541,472,0,0.0641272537282262,3.629457267677543e-15
PRIMARY_W5,clean,lon_3211_15_6_ID_1.csv,569,439,0,0.0921724345822676,5.199638688669666e-15
PRIMARY_W5,iced,lon_3211_15_6_ID_1.csv,671,492,0,0.08375912579300504,3.789873047731573e-15
PRIMARY_W5,clean,lon_3211_15_6_ID_2.csv,699,581,0,0.07878588230916932,5.291643456563204e-15
PRIMARY_W5,iced,lon_3211_15_6_ID_2.csv,597,418,0,0.08141899690484528,3.5094981046395378e-15
PRIMARY_W5,clean,lon_3211_15_6_ID_3.csv,572,440,0,0.08726630847226619,4.9754016796495896e-15
PRIMARY_W5,iced,lon_3211_15_6_ID_3.csv,648,472,0,0.08637221592166097,3.4684128728631925e-15
PRIMARY_W5,clean,lon_db_03_12_ID_1.csv,332,301,0,0.0960046772964767,5.360594834237896e-15
PRIMARY_W5,iced,lon_db_03_12_ID_1.csv,307,274,0,0.12291281493877748,4.070391802675335e-15
PRIMARY_W5,clean,lon_db_03_12_ID_2.csv,412,380,0,0.08004868447854563,5.4062865802480245e-15
PRIMARY_W5,iced,lon_db_03_12_ID_2.csv,426,379,0,0.08649260160320928,3.566189077984456e-15
PRIMARY_W5,clean,lon_db_03_12_ID_3.csv,333,301,0,0.0893792745621105,5.166862855535588e-15
PRIMARY_W5,iced,lon_db_03_12_ID_3.csv,319,275,0,0.0990696048080118,3.333902428988423e-15
PRIMARY_W5,clean,lon_db_23_6_ID_1.csv,469,397,0,0.06765108604189925,5.370578087625992e-15
PRIMARY_W5,iced,lon_db_23_6_ID_1.csv,581,504,0,0.09606485823541137,3.7120714282674825e-15
PRIMARY_W5,clean,lon_db_23_6_ID_2.csv,522,468,0,0.08034569360491665,5.825928012084087e-15
PRIMARY_W5,iced,lon_db_23_6_ID_2.csv,592,532,0,0.0993728611855225,3.825614235164484e-15
PRIMARY_W5,clean,lon_db_23_6_ID_3.csv,695,640,0,0.07668132481721858,5.346806639308581e-15
PRIMARY_W5,iced,lon_db_23_6_ID_3.csv,641,561,0,0.10491950275079034,4.06218713565175e-15
ETA1_W5,clean,lon_3211_02_12_ID_1.csv,348,298,0,0.09292018896653712,5.1016477498081656e-15
ETA1_W5,iced,lon_3211_02_12_ID_1.csv,302,239,0,0.28567834696683597,0.23371962178257089
