branch,configuration,file_name,source_rows,common_envelope_rows,invalid_rows,prop_thrust_reference_nrmse
PRIMARY_W5,clean,lon_3211_02_12_ID_4.csv,317,272,0,4.624279790769184e-15
PRIMARY_W5,iced,lon_3211_02_12_ID_4.csv,316,264,0,3.6506325073208795e-15
PRIMARY_W5,clean,lon_3211_02_12_ID_5.csv,489,438,0,5.119685586079485e-15
PRIMARY_W5,iced,lon_3211_02_12_ID_5.csv,283,233,0,3.648586502045492e-15
PRIMARY_W5,clean,lon_3211_15_6_ID_4.csv,686,585,0,5.058343628179246e-15
PRIMARY_W5,iced,lon_3211_15_6_ID_4.csv,508,339,0,3.4984934417673836e-15
PRIMARY_W5,clean,lon_3211_15_6_ID_5.csv,597,428,0,5.444492830741948e-15
PRIMARY_W5,iced,lon_3211_15_6_ID_5.csv,660,481,0,4.094301633867679e-15
PRIMARY_W5,clean,lon_db_03_12_ID_4.csv,276,246,0,4.901512499009419e-15
PRIMARY_W5,iced,lon_db_03_12_ID_4.csv,325,293,0,3.7169162437459844e-15
PRIMARY_W5,clean,lon_db_03_12_ID_5.csv,336,307,0,5.603957020171646e-15
PRIMARY_W5,iced,lon_db_03_12_ID_5.csv,294,263,0,3.603208204514858e-15
PRIMARY_W5,clean,lon_db_03_12_ID_6.csv,416,385,0,5.0914313194861105e-15
PRIMARY_W5,iced,lon_db_03_12_ID_6.csv,327,293,0,3.7866120599999785e-15
PRIMARY_W5,clean,lon_db_23_6_ID_4.csv,571,509,0,5.358043457664681e-15
PRIMARY_W5,iced,lon_db_23_6_ID_4.csv,594,524,0,3.9628768029923324e-15
PRIMARY_W5,clean,lon_db_23_6_ID_5.csv,706,642,0,5.3406721265083325e-15
PRIMARY_W5,iced,lon_db_23_6_ID_5.csv,667,593,0,4.021890503724442e-15
PRIMARY_W5,clean,lon_db_23_6_ID_6.csv,560,500,0,5.455718273185054e-15
PRIMARY_W5,iced,lon_db_23_6_ID_6.csv,630,566,0,3.665889444829623e-15
ETA1_W5,clean,lon_3211_02_12_ID_4.csv,317,272,0,4.624279790769184e-15
ETA1_W5,iced,lon_3211_02_12_ID_4.csv,316,264,0,0.2337196217825707
ETA1_W5,clean,lon_3211_02_12_ID_5.csv,489,438,0,5.119685586079485e-15
ETA1_W5,iced,lon_3211_02_12_ID_5.csv,283,233,0,0.2337196217825711
ETA1_W5,clean,lon_3211_15_6_ID_4.csv,686,585,0,5.058343628179246e-15
ETA1_W5,iced,lon_3211_15_6_ID_4.csv,508,339,0,0.23371962178257066
ETA1_W5,clean,lon_3211_15_6_ID_5.csv,597,428,0,5.444492830741948e-15
ETA1_W5,iced,lon_3211_15_6_ID_5.csv,660,481,0,0.23371962178257052
ETA1_W5,clean,lon_db_03_12_ID_4.csv,276,246,0,4.901512499009419e-15
ETA1_W5,iced,lon_db_03_12_ID_4.csv,325,293,0,0.23371962178257016
ETA1_W5,clean,lon_db_03_12_ID_5.csv,336,307,0,5.603957020171646e-15
ETA1_W5,iced,lon_db_03_12_ID_5.csv,294,263,0,0.23371962178256991
ETA1_W5,clean,lon_db_03_12_ID_6.csv,416,385,0,5.0914313194861105e-15
ETA1_W5,iced,lon_db_03_12_ID_6.csv,327,293,0,0.23371962178257
ETA1_W5,clean,lon_db_23_6_ID_4.csv,571,509,0,5.358043457664681e-15
ETA1_W5,iced,lon_db_23_6_ID_4.csv,594,524,0,0.23371962178257022
ETA1_W5,clean,lon_db_23_6_ID_5.csv,706,642,0,5.3406721265083325e-15
ETA1_W5,iced,lon_db_23_6_ID_5.csv,667,593,0,0.23371962178257044
ETA1_W5,clean,lon_db_23_6_ID_6.csv,560,500,0,5.455718273185054e-15
ETA1_W5,iced,lon_db_23_6_ID_6.csv,630,566,0,0.23371962178257055
W7,clean,lon_3211_02_12_ID_4.csv,317,270,0,4.609737698459147e-15
W7,iced,lon_3211_02_12_ID_4.csv,316,262,0,3.657843432489765e-15
W7,clean,lon_3211_02_12_ID_5.csv,489,436,0,5.129504065584931e-15
W7,iced,lon_3211_02_12_ID_5.csv,283,231,0,3.65250475322894e-15
W7,clean,lon_3211_15_6_ID_4.csv,686,583,0,5.0523752679161856e-15
W7,iced,lon_3211_15_6_ID_4.csv,508,337,0,3.504590009195246e-15
W7,clean,lon_3211_15_6_ID_5.csv,597,426,0,5.425893337197818e-15
W7,iced,lon_3211_15_6_ID_5.csv,660,479,0,4.0831227977434526e-15
W7,clean,lon_db_03_12_ID_4.csv,276,244,0,4.90726539341095e-15
W7,iced,lon_db_03_12_ID_4.csv,325,291,0,3.724335124171034e-15
W7,clean,lon_db_03_12_ID_5.csv,336,305,0,5.605034822214276e-15
W7,iced,lon_db_03_12_ID_5.csv,294,261,0,3.590854171203015e-15
W7,clean,lon_db_03_12_ID_6.csv,416,383,0,5.0908078026576534e-15
W7,iced,lon_db_03_12_ID_6.csv,327,291,0,3.780718841293328e-15
W7,clean,lon_db_23_6_ID_4.csv,571,507,0,5.361519012335748e-15
W7,iced,lon_db_23_6_ID_4.csv,594,522,0,3.954310314054471e-15
W7,clean,lon_db_23_6_ID_5.csv,706,640,0,5.345377915908852e-15
W7,iced,lon_db_23_6_ID_5.csv,667,591,0,4.0191835503341505e-15
W7,clean,lon_db_23_6_ID_6.csv,560,498,0,5.447412501201518e-15
W7,iced,lon_db_23_6_ID_6.csv,630,564,0,3.657331403937377e-15
W9_STRESS,clean,lon_3211_02_12_ID_4.csv,317,268,0,4.590175611180483e-15
W9_STRESS,iced,lon_3211_02_12_ID_4.csv,316,260,0,3.660146508769722e-15
W9_STRESS,clean,lon_3211_02_12_ID_5.csv,489,434,0,5.123593987558535e-15
W9_STRESS,iced,lon_3211_02_12_ID_5.csv,283,229,0,3.6552772240302795e-15
W9_STRESS,clean,lon_3211_15_6_ID_4.csv,686,581,0,5.047061690228256e-15
W9_STRESS,iced,lon_3211_15_6_ID_4.csv,508,335,0,3.50769355585205e-15
W9_STRESS,clean,lon_3211_15_6_ID_5.csv,597,424,0,5.429293572110892e-15
W9_STRESS,iced,lon_3211_15_6_ID_5.csv,660,477,0,4.0830435713384086e-15
W9_STRESS,clean,lon_db_03_12_ID_4.csv,276,242,0,4.892189271915282e-15
W9_STRESS,iced,lon_db_03_12_ID_4.csv,325,289,0,3.709008059890062e-15
W9_STRESS,clean,lon_db_03_12_ID_5.csv,336,303,0,5.615001359027421e-15
W9_STRESS,iced,lon_db_03_12_ID_5.csv,294,259,0,3.598443174611584e-15
W9_STRESS,clean,lon_db_03_12_ID_6.csv,416,381,0,5.081218258276389e-15
W9_STRESS,iced,lon_db_03_12_ID_6.csv,327,289,0,3.7613017794339705e-15
W9_STRESS,clean,lon_db_23_6_ID_4.csv,571,505,0,5.3652571392197366e-15
W9_STRESS,iced,lon_db_23_6_ID_4.csv,594,520,0,3.957606363345717e-15
W9_STRESS,clean,lon_db_23_6_ID_5.csv,706,638,0,5.3469600298409234e-15
W9_STRESS,iced,lon_db_23_6_ID_5.csv,667,589,0,4.020808243554146e-15
W9_STRESS,clean,lon_db_23_6_ID_6.csv,560,496,0,5.455328928471072e-15
W9_STRESS,iced,lon_db_23_6_ID_6.csv,630,562,0,3.662005540792641e-15
