"stage","branch","role","delta_CD_ref","delta_CD_jackknife_se","delta_CD_loo_min","delta_CD_loo_max","delta_D_ref_N","delta_D_jackknife_se_N","delta_D_loo_min_N","delta_D_loo_max_N","delta_P_D_ref_W","delta_P_D_jackknife_se_W","delta_P_D_loo_min_W","delta_P_D_loo_max_W"
"IDENTIFICATION","PRIMARY_W5","PRIMARY","0,00811873888856983","0,000906913416476636","0,0075311829566162","0,00867450039261304","1,10944967168168","0,123932399595987","1,02915841650677","1,18539612428433","19,2284133058499","2,14793285557987","17,8368464067329","20,544678312755"
"IDENTIFICATION","ETA1_W5","REQUIRED_PROPULSION_SENSITIVITY","0,021359395783492","0,000944669809111857","0,020827734082568","0,021987138161293","2,91882458157102","0,129091922274072","2,84617143831421","3,00460743337975","50,5875722480047","2,23735505926105","49,3283851914225","52,0743166864727"
"IDENTIFICATION","EQUAL_PAIR_W5","REQUIRED_WEIGHTING_SENSITIVITY","0,00816823037323516","0,000873484456045899","0,00767255803137508","0,00865954802428045","1,11621282937977","0,119364233322434","1,0484777384394","1,18335283894591","19,3456288901083","2,06875973813277","18,1716789966116","20,5092651381048"
"IDENTIFICATION","BETA_AUG_W5","REQUIRED_MODEL_SENSITIVITY","0,00811720428253968","0,000896253577047953","0,00754308186028725","0,00863259184110502","1,10923996323069","0,122475701022889","1,03078443687181","1,17966919682067","19,2247787464172","2,12268610222052","17,8650277586415","20,4454221400284"
"IDENTIFICATION","W7","REQUIRED_DERIVATIVE_WINDOW_SENSITIVITY","0,00803926154830687","0,00091363927070335","0,00744006700758902","0,00857806997220635","1,09858885816481","0,124851507460647","1,01670715269344","1,17221862224507","19,0401792502902","2,16386236220414","17,6210474814692","20,3162925986329"
"IDENTIFICATION","W9_STRESS","DESCRIPTIVE_STRESS_TEST_ONLY","0,00795340226667841","0,000918249335081899","0,00734458802676084","0,00847442460310264","1,08685593349253","0,125481486387351","1,00365966768546","1,15805517613581","18,836830210993","2,17478083420502","17,3949151559217","20,0708190070177"
"VALIDATION","PRIMARY_W5","PRIMARY","0,00938486969525635","0,000957548294359938","0,00866660101322011","0,00987658874459154","1,28247018965425","0,130851805357682","1,18431665073625","1,34966505148342","22,2271162798442","2,26785645122625","20,5259694302658","23,391703199161"
"VALIDATION","ETA1_W5","REQUIRED_PROPULSION_SENSITIVITY","0,0222942819168234","0,00116096577143876","0,0214834745674075","0,0228278844636061","3,04657953562485","0,158649404991924","2,93578031422447","3,11949790120623","52,8017556590407","2,74963020655808","50,8814403194333","54,0655394130714"
"VALIDATION","EQUAL_PAIR_W5","REQUIRED_WEIGHTING_SENSITIVITY","0,00955894909523433","0,00105444272491994","0,00866515875462342","0,00998879577528535","1,30625865431642","0,144092715756207","1,18411956183506","1,364998473961","22,639405761838","2,49734112654519","20,5225535864048","23,6574542217786"
"VALIDATION","BETA_AUG_W5","REQUIRED_MODEL_SENSITIVITY","0,00942745164286137","0,0009664474893371","0,00864706507825783","0,00991710970432294","1,28828913868542","0,132067906661241","1,18164700746685","1,35520236042847","22,3279673232335","2,28893329597502","20,4797005408573","23,4876730008702"
"VALIDATION","W7","REQUIRED_DERIVATIVE_WINDOW_SENSITIVITY","0,00936072809229683","0,000965281236331683","0,00863806933547227","0,00984317292064621","1,27917116823665","0,131908534740095","1,18041771261983","1,34509868034944","22,1699393308202","2,28617114348864","20,4583950323729","23,3125611941532"
"VALIDATION","W9_STRESS","DESCRIPTIVE_STRESS_TEST_ONLY","0,00932732314836178","0,000976281666424126","0,00860117135912691","0,00980162915613692","1,27460628388824","0,133411776034331","1,17537549506561","1,33942160210762","22,0908230940182","2,31222455144556","20,3710059009996","23,2141689826004"
