file_name,clean_common_envelope_rows,iced_common_envelope_rows,represented_primary
lon_3211_02_12_ID_1.csv,298,239,True
lon_3211_02_12_ID_2.csv,364,266,True
lon_3211_02_12_ID_3.csv,267,472,True
lon_3211_15_6_ID_1.csv,439,492,True
lon_3211_15_6_ID_2.csv,581,418,True
lon_3211_15_6_ID_3.csv,440,472,True
lon_db_03_12_ID_1.csv,301,274,True
lon_db_03_12_ID_2.csv,380,379,True
lon_db_03_12_ID_3.csv,301,275,True
lon_db_23_6_ID_1.csv,397,504,True
lon_db_23_6_ID_2.csv,468,532,True
lon_db_23_6_ID_3.csv,640,561,True
