"configuration","file_name","n_headers","has_TIME","has_Va_EKF_CG","has_alpha","has_beta","has_q","has_elevator","has_theta","has_Va_EKF_CG_dot","has_voltage","has_current","has_battery_power","has_RPS","has_throttle","has_ice_status"
"clean","lat_121_01_15_ID_1.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_01_15_ID_2.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_01_15_ID_3.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_01_15_ID_4.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_01_15_ID_5.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_01_15_ID_6.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_05_8_ID_1.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_05_8_ID_2.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_05_8_ID_3.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_05_8_ID_4.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_05_8_ID_5.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_121_05_8_ID_6.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_db_01_15_ID_1.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_db_01_15_ID_2.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_db_01_15_ID_3.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_db_01_15_ID_4.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_db_01_15_ID_5.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_db_01_15_ID_6.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_db_06_8_ID_1.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_db_06_8_ID_2.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
"clean","lat_db_06_8_ID_3.csv","126","True","True","True","True","True","True","True","True","True","True","True","True","True","True"
