branch,coefficient,value
PRIMARY,Va_c,12.585963022454584
PRIMARY,alpha_c,472.73272307449366
PRIMARY,alpha_c2,1955.0670865368504
PRIMARY,q_hat_c,-3164.5158116604352
PRIMARY,delta_e_c,-138.55088257967617
PRIMARY,ice,35.46097758045846
PRIMARY,ice_Va_c,-0.92724104674998
PRIMARY,ice_alpha_c,-55.68952017708071
PRIMARY,ice_alpha_c2,1263.6806484035956
PRIMARY,ice_q_hat_c,1641.49463290271
PRIMARY,ice_delta_e_c,-298.5137550824526
EQUAL_PAIR,Va_c,12.936823979751146
EQUAL_PAIR,alpha_c,523.6491862037219
EQUAL_PAIR,alpha_c2,409.41005850801395
EQUAL_PAIR,q_hat_c,-2817.313922825841
EQUAL_PAIR,delta_e_c,-293.02805654839375
EQUAL_PAIR,ice,34.01064810396634
EQUAL_PAIR,ice_Va_c,-1.6951088839269741
EQUAL_PAIR,ice_alpha_c,-86.8490882869444
EQUAL_PAIR,ice_alpha_c2,3116.8658388712834
EQUAL_PAIR,ice_q_hat_c,1279.92323953771
EQUAL_PAIR,ice_delta_e_c,-204.83642193028882
BETA_AUG,beta_c,54.51736241949341
BETA_AUG,Va_c,12.140526810203564
BETA_AUG,alpha_c,464.9231105035513
BETA_AUG,alpha_c2,2028.4368423023247
BETA_AUG,q_hat_c,-3038.763356883294
BETA_AUG,delta_e_c,-153.68656835383953
BETA_AUG,ice,35.05339781171949
BETA_AUG,ice_Va_c,-0.5917360612778712
BETA_AUG,ice_alpha_c,-46.85260309203396
BETA_AUG,ice_alpha_c2,986.6147635554588
BETA_AUG,ice_q_hat_c,1565.3349180351915
BETA_AUG,ice_delta_e_c,-282.05790939011786
KINEMATIC_ENERGY_STATE_AUG,Va_dot_c,94.3721373433676
KINEMATIC_ENERGY_STATE_AUG,gamma_proxy_c,863.0053385104765
KINEMATIC_ENERGY_STATE_AUG,Va_c,16.16524487012757
KINEMATIC_ENERGY_STATE_AUG,alpha_c,747.2688366371614
KINEMATIC_ENERGY_STATE_AUG,alpha_c2,729.6577497241865
KINEMATIC_ENERGY_STATE_AUG,q_hat_c,901.057814680365
KINEMATIC_ENERGY_STATE_AUG,delta_e_c,71.53655820516731
KINEMATIC_ENERGY_STATE_AUG,ice,28.393657382026866
KINEMATIC_ENERGY_STATE_AUG,ice_Va_c,4.23776173551667
KINEMATIC_ENERGY_STATE_AUG,ice_alpha_c,178.63571731500812
KINEMATIC_ENERGY_STATE_AUG,ice_alpha_c2,770.9934258249851
KINEMATIC_ENERGY_STATE_AUG,ice_q_hat_c,-2164.5220134311176
KINEMATIC_ENERGY_STATE_AUG,ice_delta_e_c,166.82144627404685
THROTTLE_AUG,throttle_c,1052.0307117438867
THROTTLE_AUG,Va_c,-6.255402917015593
THROTTLE_AUG,alpha_c,-155.79735782380797
THROTTLE_AUG,alpha_c2,2347.6222221084054
THROTTLE_AUG,q_hat_c,1678.7539331314044
THROTTLE_AUG,delta_e_c,-106.86825918266004
THROTTLE_AUG,ice,-2.3509586475686177
THROTTLE_AUG,ice_Va_c,5.900010971066982
THROTTLE_AUG,ice_alpha_c,75.48856033852555
THROTTLE_AUG,ice_alpha_c2,-6133.889981052506
THROTTLE_AUG,ice_q_hat_c,-960.0356460565637
THROTTLE_AUG,ice_delta_e_c,-88.58725786301372
RPS_AUG,RPS_c,1.161552578992649
RPS_AUG,Va_c,-9.54274240797888
RPS_AUG,alpha_c,180.3545457210684
RPS_AUG,alpha_c2,1037.408331269064
RPS_AUG,q_hat_c,-1387.075917954724
RPS_AUG,delta_e_c,-259.9434548482709
RPS_AUG,ice,-23.58465212347303
RPS_AUG,ice_Va_c,3.599814432755677
RPS_AUG,ice_alpha_c,78.92745779247454
RPS_AUG,ice_alpha_c2,-4069.755867745176
RPS_AUG,ice_q_hat_c,1469.2377898957923
RPS_AUG,ice_delta_e_c,-437.5779645744547
