"Check","Expected","Observed","Pass"
"Parent P1-A8B status","PASS","PASS_P1_A8B_BATTERY_POWER_SEMANTIC_AUDIT_AND_PREANALYSIS_FREEZE","True"
"Pre-analysis contract hash","C7B019A19D6E373D23F5F32E324BED3977A769B4779B7B3BDBAF9B2A2FCD0C3E","C7B019A19D6E373D23F5F32E324BED3977A769B4779B7B3BDBAF9B2A2FCD0C3E","True"
"Canonical source classification","MODEL_AGNOSTIC_CHANNEL_PER_DATASET_README","MODEL_AGNOSTIC_CHANNEL_PER_DATASET_README","True"
"Frozen source fingerprint","18D12A3A0A6603800F5D6961CC006F8C9C50533B16FEBACC7DF9E37FCD7EE689","18D12A3A0A6603800F5D6961CC006F8C9C50533B16FEBACC7DF9E37FCD7EE689","True"
"Exact ID1-3 longitudinal pairs","12","12","True"
"Primary support",">=10 represented pairs; >=25 finite battery rows/config/pair","True","True"
"Required-model numerical integrity","True","True","True"
"Validation battery_power outcomes opened","False","False","True"
"HE_B1 result","NOT AN EXECUTION PASS/FAIL TARGET","BATTERY_POWER_SIGNAL_ROBUST_IDENTIFICATION; DeltaP=35.46097758045846; p=3.69119573626771E-07","True"
"Global execution integrity","True","True","True"
