family,outer_hold_id,config_id,inner_fold,inner_score,train_groups,validation_groups,train_rows,validation_rows
OLS,1,OLS_FIXED,1,0.7713922061592737,10,8,9306,6609
OLS,1,OLS_FIXED,2,0.7947830609845012,12,6,9500,6415
OLS,1,OLS_FIXED,3,0.711506275623928,14,4,13024,2891
OLS,2,OLS_FIXED,1,0.7503825696057046,10,8,8862,6225
OLS,2,OLS_FIXED,2,0.7628676677645718,12,6,8725,6362
OLS,2,OLS_FIXED,3,0.6856209369953561,14,4,12587,2500
OLS,3,OLS_FIXED,1,0.7925157930764287,10,8,9350,6068
OLS,3,OLS_FIXED,2,0.8125763039551699,12,6,9013,6405
OLS,3,OLS_FIXED,3,0.6786388448136242,14,4,12473,2945
RIDGE,1,RIDGE_A_0p0001,1,0.7713922048951422,10,8,9306,6609
RIDGE,1,RIDGE_A_0p0001,2,0.794783059684468,12,6,9500,6415
RIDGE,1,RIDGE_A_0p0001,3,0.7115062750078803,14,4,13024,2891
RIDGE,1,RIDGE_A_0p001,1,0.7713921935179616,10,8,9306,6609
RIDGE,1,RIDGE_A_0p001,2,0.7947830479841764,12,6,9500,6415
RIDGE,1,RIDGE_A_0p001,3,0.7115062694634532,14,4,13024,2891
RIDGE,1,RIDGE_A_0p01,1,0.7713920797466649,10,8,9306,6609
RIDGE,1,RIDGE_A_0p01,2,0.7947829309818257,12,6,9500,6415
RIDGE,1,RIDGE_A_0p01,3,0.7115062140194178,14,4,13024,2891
RIDGE,1,RIDGE_A_0p1,1,0.7713909420846677,10,8,9306,6609
RIDGE,1,RIDGE_A_0p1,2,0.7947817610147572,12,6,9500,6415
RIDGE,1,RIDGE_A_0p1,3,0.7115056596028543,14,4,13024,2891
RIDGE,1,RIDGE_A_1,1,0.7713795705601504,10,8,9306,6609
RIDGE,1,RIDGE_A_1,2,0.7947700669861608,12,6,9500,6415
RIDGE,1,RIDGE_A_1,3,0.7115001178151986,14,4,13024,2891
RIDGE,1,RIDGE_A_10,1,0.7712663634226837,10,8,9306,6609
RIDGE,1,RIDGE_A_10,2,0.7946536892157269,12,6,9500,6415
RIDGE,1,RIDGE_A_10,3,0.7114449371549382,14,4,13024,2891
RIDGE,1,RIDGE_A_100,1,0.7701837071264862,10,8,9306,6609
RIDGE,1,RIDGE_A_100,2,0.793544519221209,12,6,9500,6415
RIDGE,1,RIDGE_A_100,3,0.710916284856662,14,4,13024,2891
RIDGE,2,RIDGE_A_0p0001,1,0.7503825681004992,10,8,8862,6225
RIDGE,2,RIDGE_A_0p0001,2,0.7628676667555674,12,6,8725,6362
RIDGE,2,RIDGE_A_0p0001,3,0.6856209365861877,14,4,12587,2500
RIDGE,2,RIDGE_A_0p001,1,0.7503825545536568,10,8,8862,6225
RIDGE,2,RIDGE_A_0p001,2,0.7628676576745342,12,6,8725,6362
RIDGE,2,RIDGE_A_0p001,3,0.6856209329036744,14,4,12587,2500
RIDGE,2,RIDGE_A_0p01,1,0.7503824190859415,10,8,8862,6225
RIDGE,2,RIDGE_A_0p01,2,0.7628675668648816,12,6,8725,6362
RIDGE,2,RIDGE_A_0p01,3,0.6856208960788132,14,4,12587,2500
RIDGE,2,RIDGE_A_0p1,1,0.7503810644797193,10,8,8862,6225
RIDGE,2,RIDGE_A_0p1,2,0.7628666588359575,12,6,8725,6362
RIDGE,2,RIDGE_A_0p1,3,0.6856205278573034,14,4,12587,2500
RIDGE,2,RIDGE_A_1,1,0.7503675255081808,10,8,8862,6225
RIDGE,2,RIDGE_A_1,2,0.7628575853048292,12,6,8725,6362
RIDGE,2,RIDGE_A_1,3,0.6856168483516356,14,4,12587,2500
RIDGE,2,RIDGE_A_10,1,0.7502328425467008,10,8,8862,6225
RIDGE,2,RIDGE_A_10,2,0.7627675234231324,12,6,8725,6362
RIDGE,2,RIDGE_A_10,3,0.6855803234702025,14,4,12587,2500
RIDGE,2,RIDGE_A_100,1,0.7489544488827669,10,8,8862,6225
RIDGE,2,RIDGE_A_100,2,0.7619319438516574,12,6,8725,6362
RIDGE,2,RIDGE_A_100,3,0.6852413453459545,14,4,12587,2500
RIDGE,3,RIDGE_A_0p0001,1,0.7925157917248183,10,8,9350,6068
RIDGE,3,RIDGE_A_0p0001,2,0.8125763026602102,12,6,9013,6405
RIDGE,3,RIDGE_A_0p0001,3,0.6786388441981469,14,4,12473,2945
RIDGE,3,RIDGE_A_0p001,1,0.7925157795603305,10,8,9350,6068
RIDGE,3,RIDGE_A_0p001,2,0.8125762910055815,12,6,9013,6405
RIDGE,3,RIDGE_A_0p001,3,0.6786388386588523,14,4,12473,2945
RIDGE,3,RIDGE_A_0p01,1,0.7925156579159857,10,8,9350,6068
RIDGE,3,RIDGE_A_0p01,2,0.8125761744599693,12,6,9013,6405
RIDGE,3,RIDGE_A_0p01,3,0.6786387832661465,14,4,12473,2945
RIDGE,3,RIDGE_A_0p1,1,0.7925144415256272,10,8,9350,6068
RIDGE,3,RIDGE_A_0p1,2,0.8125750090710322,12,6,9013,6405
RIDGE,3,RIDGE_A_0p1,3,0.6786382293631661,14,4,12473,2945
RIDGE,3,RIDGE_A_1,1,0.7925022829297186,10,8,9350,6068
